Who scored Barcelona's only goal against Real Madrid in the October 26, 2025 El Clasico?	factoid
How many clean sheets has Barcelona kept in La Liga during the 2025-2026 season?	factoid
How many red cards were given in the October 26, 2025' El Clasico?	factoid
Which stadium hosted the Barcelona vs Valencia in September 2025?	factoid
Which Barcelona player received a red card in the club's fixture against Celta Vigo in November 2025?	factoid
Which match marked Barcelona's return to the new Camp Nou in November 2025?	factoid
What's the biggest defeat suffered by Barcelona in the 2025-2026 season?	factoid
Who is Barcelona's best scorer in the 2025-2026 season?	factoid
Which Barcelona player has the most assists in La Liga in the 2025-2026 season?	factoid
Which Barcelona player has received the most yellow cards in La Liga this season?	factoid
In which game did Barcelona receive their first penalty of the 2025-2026 season?	factoid
What's the biggest victory of FC Barcelona in the 2025-2026 season?	factoid
How many games has Barcelona won in the 2025–2026 UEFA Champions League group stage?	factoid
How many red cards were given in the fixture between FC Barcelona and Mallorca in August 2025?	factoid
Who coached Barcelona from the side line in the 2025-2026 El Clasico?	factoid
What is Lamine Yamal jersey's number in the 2025-2026 season?	factoid
How many goals have FC Barcelona scored in total in the 2025-2026 UEFA Champions League?	factoid
How many goals has FC Barcelona scored in total in the 2025-2026 La Liga?	factoid
How many goals have FC Barcelona conceded in total in the 2024-2025 UEFA Champions League?	factoid
How many goals has FC Barcelona conceded in total in the 2025-2026 UEFA Champions League?	factoid
In how many games did Barcelona not score in the 2025-2026 season?	factoid
For how many consecutive games had Barcelona scored before losing to Chelsea in November 2025?	factoid
When is Joan Garcia's contract with the club expiring?	factoid
How many years is Frenkie De Jong's new contract with the club?	factoid
How much is Frenkie De Jong new release clause	factoid
Which team was Marcus Rashford playing for before he joined Barcelona on loan in the 2025 summer?	factoid
What is Pedri's date of birth?	factoid
Which team did Hector Fort join after leaving Barcelona in the 2025 summer?	factoid
Which Athletic Club Player was heavily linked to Barcelona in the 2025 summer before finally deciding to stay at Athletic?	factoid
Which former Barcelona player won the 2025 Ballon d'Or?	factoid
What was Lamine Yamal's position at the 2025 Ballon d'Or?	factoid
Which team eliminated FC Barcelona from the 2024-2025 Champions League?	factoid
Who wears the number 1 for FC Barcelona in the 2025-2026 season?	factoid
Which goalkeeper has the most appearances for Barcelona this season?	factoid
Who is the current FC Barcelona's president?	factoid
What is the club's current UEFA Ranking?	factoid
How many times have FC Barcelona won La Liga?	factoid
How many times have FC Barcelona won La Copa del Rey?	factoid
How many stadiums have FC Barcelona used as home stadiums since the start of the 2024-2025 season?	factoid
Who scored FC Barcelona's first goal upon the return of the club to the new Camp Nou in November 2025?	factoid
List all the midfielders in FC Barcelona's squad for the 2025-2026 season	list
List all the defenders in FC Barcelona's squad for the 2025-2026 season	list
List all the players signed by FC Barcelona in the 2025 summer	list
What are the names of Barcelona's goalkeepers in the current squad?	list
List all the players that left Barcelona's first team in the 2025 summer?	list
List the games Lamine Yamal has missed for FC Barcelona this season?	list
List the games in which Lewandowski has scored this season?	list
Which teams did FC Barcelona play against during the preseason 2025?	list
Which players did Barcelona send out on loan for the 2025–2026 season?	list
List all midfielders who were promoted from La Masia to the first team for the 2025–2026 season.	list
List all players under the age of 21 in the 2025–2026 squad	list
List all players over the age of 30 in Barcelona’s current squad.	list
List all left-footed players in the 2025–2026 squad.	list
List all matches FC Barcelona lost in the 2025–2026 season.	list
List all players who scored for Barcelona in the 2025–2026 UEFA Champions League.	list
List all La Liga matches Barcelona played in September 2025.	list
List all Barcelona players who received a red card in the 2025–2026 season.	list
List all players who have received more than three yellow cards for Barcelona this season.	list
List all Barcelona players who renewed their contracts in 2025.	list
List all competitions Barcelona is participating in during the 2025–2026 season.	list
List all games in which Lamine Yamal provided an assist in the 2025–2026 season.	list
List all Barcelona wins in which Pedri scored.	list
List two clubs Barcelona sold players to in the 2025 transfer window.	list
List all the games in which Barcelona did not score in the 2025-2026 season	list
List all the players who scored against Barcelona in their game against Chelsea FC in November 2025	list
List the steps to become a Barcelona socio (club member)	list
List the requirements to join La Masia academy.	list
What are the steps to purchase Barcelona match tickets?	list
What are the steps to visit Camp Nou on a stadium tour?	list
What are the steps to apply for a Barcelona membership card?	list
What are the steps to renew a Barcelona season ticket?	list
What are the steps fans follow to enter Camp Nou on match day?	list
What are the steps to request media accreditation for a Barcelona match?	list
What are the steps to file an official complaint or inquiry with FC Barcelona?	list
What are the steps to apply for a job or internship at FC Barcelona?	list
What are the steps to collaborate with Barcelona on community or social projects?	list
What are the steps to obtain permission to use FC Barcelona trademarked images or logos?	list
What are the steps to access Barcelona’s training sessions as a blogger or analyst?	list
What are the steps to upgrade or modify an existing Barcelona membership?	list
What are the steps to apply for Barcelona’s youth scouting trials?	list
Who was Barcelona’s top scorer in the 2024–2025 season? a) Lewandowski b) Yamal c) Ferran Torres d) Raphinha	multiple_choice
Where did Barcelona finish in La Liga in the 2024–2025 season? a) 1st b) 2nd c) 3rd d) 4th	multiple_choice
Who served as Barcelona’s sporting director in 2025? a) Deco b) Jordi Cruyff c) Mateu Alemany d) Bojan Krkić 	multiple_choice
How many red cards were given in the fixture between FC Barcelona and Mallorca in August 2025?  a) 1 b) 2 c) 3 d) 4	multiple_choice
Who scored Barcelona’s first goal of the 2025–2026 La Liga season? a) Lewandowski b) Lamine Yamal c) Raphinha d) Pedri	multiple_choice
Which team handed Barcelona their first defeat of the 2025–2026 season? a) Atlético Madrid b) Paris Saint Germain c) Real Betis d) Girona	multiple_choice
Where was the Barcelona vs Sevilla match in October 2025 played? a) Estadi Olímpic b) Spotify Camp Nou c) Ramón Sánchez-Pizjuán d) Montjuïc Stadium	multiple_choice
How many goals have Barcelona scored in the 2025–2026 Champions League group stage? a) 4 b) 6 c) 9 d) 12	multiple_choice
What shirt number does Lamine Yamal wear in the 2025–2026 season? a) 7 b) 19 c) 27 d) 10	multiple_choice
Which goalkeeper is Barcelona’s No.1 for the 2025–2026 season? a) Ter Stegen b) Iñaki Peña c) Joan Garcia d) Arnau Tenas	multiple_choice
Which new signing joined Barcelona on loan in summer 2025? a) Marcus Rashford b) João Cancelo c) Dani Olmo d) Nico Williams	multiple_choice
From which club did Barcelona sign Marcus Rashford on loan? a) Manchester City b) Chelsea c) Manchester United d) PSG	multiple_choice
How many years is Frenkie de Jong’s new contract? a) 2 years b) 3 years c) 4 years d) 5 years	multiple_choice
Which Athletic Club player was heavily linked to Barça in summer 2025? a) Nico Williams b) Iñaki Williams c) Oihan Sancet d) Vivian	multiple_choice
Which former Barcelona player won the 2025 Ballon d’Or? a) Lionel Messi b) Ansu Fati c) Ousmane Dembélé d) Luis Suárez	multiple_choice
Which position does Deco hold in the club? a) Coach b) Sporting Director c) Vice-President d) Financial Manager	multiple_choice
How many La Liga titles has Barcelona won as of 2025? a) 24 b) 26 c) 28 d) 30	multiple_choice
How many stadiums has Barcelona used as a home ground since 2024? a) 1 b) 2 c) 3 d) 4	multiple_choice
Which club eliminated Barcelona from the 2024–2025 Champions League? a) PSG b) Bayern Munich c) Inter Milan d) Arsenal	multiple_choice
In which round did Barcelona exit the Champions League in 2024–2025? a) Group Stage b) Round of 16 c) Quarter-final d) Semi-final	multiple_choice
Which Barcelona women’s player won the Ballon d'Or in 2025? a) Alexia Putellas b) Aitana Bonmatí c) Caroline Graham Hansen d) Lucy Bronze	multiple_choice
Which match marked Barcelona’s return to Camp Nou after renovations in 2025? a) Valencia b) Granada c) Celta Vigo d) Athletic Club	multiple_choice
How many Champions League titles has Barcelona won as of 2025? a) 28 b) 5 c) 7 d) 4	multiple_choice
Who coached FC Barcelona from the sideline during the 2025–2026 first El Clásico? a) Marcus Sorg b) Hansi Flick c) Xavi Hernández d) Oscar Hernández	multiple_choice
